"25384",438
"23074",435
"26060",429
"25798",429
"25870",425
"26090",423
"25428",423
"23556",422
"25677",418
"25349",416
"25827",413
"26039",413
"25915",413
"26140",412
"25241",411
"25756",409
"26097",409
"24966",408
"25671",407
"25248",406
"26137",406
"25788",406
"26415",405
"25573",405
"25399",404
"25197",404
"25147",403
"25457",403
"26066",402
"25448",400
"25499",399
"25699",399
"21960",399
"25953",398
"23682",397
"22479",397
"25277",396
"25596",396
"25567",395
"25424",395
"24045",394
"23580",394
"25590",394
"25057",393
"22677",393
"25038",393
"25615",391
"26071",391
"23543",391
"26146",391
"22664",391
"25968",390
"24008",390
"25432",390
"25680",390
"22541",390
"22032",389
"23450",389
"26036",389
"24329",389
"25251",388
"25708",388
"25343",388
"26007",388
"25236",387
"25473",387
"23662",387
"26344",386
"25725",385
"25244",385
"26076",385
"24853",385
"24967",385
"25513",385
"24296",384
"26420",384
"23890",384
"21971",384
"26112",384
"26041",383
"25074",383
"25518",383
"25338",382
"26045",382
"24852",382
"22036",381
"25751",381
"23155",381
"22657",380
"25617",380
"25735",380
"25378",379
"23292",379
"25776",379
"25281",378
"25112",377
"25961",377
"25931",377
"24997",377
"25537",377
"24126",376
"22314",376
"25638",375
"22894",375
"25879",375
"25815",375
"25929",375
"23154",375
"24200",375
"25775",375
"26322",374
"23460",374
"25479",374
"26354",373
"23097",373
"25842",373
"22690",373
"23279",373
"23269",373
"25152",372
"25261",372
"25392",372
"25129",372
"24969",372
"26371",372
"25620",371
"24169",371
"25940",371
"25908",370
"25048",370
"22253",369
"24866",369
"25439",369
"25414",369
"22013",368
"26401",368
"25557",368
"26005",368
"25765",367
"22863",367
"25232",367
"25702",367
"26117",367
"26103",367
"25642",367
"25320",366
"23185",366
"22463",366
"26142",366
"22867",365
"26070",365
"23034",365
"26012",365
"22022",364
"25882",364
"22767",364
"24010",364
"25805",364
"25912",364
"22024",363
"25132",363
"25873",363
"23457",363
"25978",363
"26077",363
"23920",363
"22460",363
"25442",363
"25081",363
"24842",363
"25897",362
"25613",362
"25967",362
"25444",362
"26125",362
"25043",362
"26338",361
"23949",361
"23089",361
"24892",361
"22229",361
"25440",361
"23775",361
"25163",361
"25034",361
"26073",360
"25223",360
"25214",360
"22499",360
"22209",360
"21997",360
"25689",360
"25421",360
"25064",360
"25648",360
"25156",359
"25733",359
"22607",359
"23578",359
"26063",359
"25813",359
"25086",359
"25695",359
"23364",358
"25019",358
"24304",358
"26020",358
"25633",357
"25276",357
"25757",357
"24035",357
"25495",357
"22729",357
"23576",357
"25478",357
"26406",357
"25938",357
"23780",357
"25430",357
"25410",357
"26382",357
"23870",357
